Testcase DataSize WorkGroupSize GpuWorkGroups NumThreads Time
Collatz 2684354560 10 100 2 103.162011
Collatz 2684354560 10 100 4 88.058284
Collatz 2684354560 10 100 6 76.899901
Collatz 2684354560 10 100 8 68.543516
Collatz 2684354560 10 1000 2 15.744443
Collatz 2684354560 10 1000 4 15.353015
Collatz 2684354560 10 1000 6 15.028639
Collatz 2684354560 10 1000 8 14.635239
Collatz 2684354560 10 10000 2 4.598333
Collatz 2684354560 10 10000 4 4.550328
Collatz 2684354560 10 10000 6 4.506408
Collatz 2684354560 10 10000 8 4.475880
Collatz 2684354560 10 20000 2 4.032412
Collatz 2684354560 10 20000 4 4.012427
Collatz 2684354560 10 20000 6 3.979089
Collatz 2684354560 10 20000 8 3.962859
Collatz 2684354560 10 50000 2 3.825544
Collatz 2684354560 10 50000 4 3.803639
Collatz 2684354560 10 50000 6 3.773940
Collatz 2684354560 10 50000 8 3.757647
Collatz 2684354560 10 100000 2 3.716408
Collatz 2684354560 10 100000 4 3.690132
Collatz 2684354560 10 100000 6 3.665854
Collatz 2684354560 10 100000 8 3.647349
Collatz 2684354560 100 100 2 15.663654
Collatz 2684354560 100 100 4 15.250434
Collatz 2684354560 100 100 6 14.878360
Collatz 2684354560 100 100 8 14.553121
Collatz 2684354560 100 1000 2 4.572963
Collatz 2684354560 100 1000 4 4.529895
Collatz 2684354560 100 1000 6 4.491430
Collatz 2684354560 100 1000 8 4.463105
Collatz 2684354560 100 10000 2 3.725211
Collatz 2684354560 100 10000 4 3.699421
Collatz 2684354560 100 10000 6 3.677312
Collatz 2684354560 100 10000 8 3.652574
Collatz 2684354560 100 20000 2 3.692058
Collatz 2684354560 100 20000 4 3.666410
Collatz 2684354560 100 20000 6 3.646054
Collatz 2684354560 100 20000 8 3.627449
Collatz 2684354560 100 50000 2 3.668959
Collatz 2684354560 100 50000 4 3.635338
Collatz 2684354560 100 50000 6 3.610957
Collatz 2684354560 100 50000 8 3.588007
Collatz 2684354560 100 100000 2 3.645948
Collatz 2684354560 100 100000 4 3.630904
Collatz 2684354560 100 100000 6 3.597094
Collatz 2684354560 100 100000 8 3.584989
Collatz 2684354560 1000 100 2 4.565199
Collatz 2684354560 1000 100 4 4.542759
Collatz 2684354560 1000 100 6 4.503651
Collatz 2684354560 1000 100 8 4.466673
Collatz 2684354560 1000 1000 2 3.731387
Collatz 2684354560 1000 1000 4 3.698321
Collatz 2684354560 1000 1000 6 3.676856
Collatz 2684354560 1000 1000 8 3.655948
Collatz 2684354560 1000 10000 2 3.659296
Collatz 2684354560 1000 10000 4 3.623655
Collatz 2684354560 1000 10000 6 3.605099
Collatz 2684354560 1000 10000 8 3.565516
Collatz 2684354560 1000 20000 2 3.638593
Collatz 2684354560 1000 20000 4 3.619768
Collatz 2684354560 1000 20000 6 3.582230
Collatz 2684354560 1000 20000 8 3.571975
Collatz 2684354560 1000 50000 2 3.638677
Collatz 2684354560 1000 50000 4 3.619407
Collatz 2684354560 1000 50000 6 3.582273
Collatz 2684354560 1000 50000 8 3.573291
Collatz 2684354560 1000 100000 2 3.630392
Collatz 2684354560 1000 100000 4 3.617094
Collatz 2684354560 1000 100000 6 3.589753
Collatz 2684354560 1000 100000 8 3.577725
Collatz 2684354560 10000 100 2 3.716872
Collatz 2684354560 10000 100 4 3.693277
Collatz 2684354560 10000 100 6 3.676550
Collatz 2684354560 10000 100 8 3.651264
Collatz 2684354560 10000 1000 2 3.648909
Collatz 2684354560 10000 1000 4 3.621289
Collatz 2684354560 10000 1000 6 3.591202
Collatz 2684354560 10000 1000 8 3.576790
Collatz 2684354560 10000 10000 2 3.635913
Collatz 2684354560 10000 10000 4 3.622887
Collatz 2684354560 10000 10000 6 3.590734
Collatz 2684354560 10000 10000 8 3.568865
Collatz 2684354560 10000 20000 2 3.651213
Collatz 2684354560 10000 20000 4 3.609833
Collatz 2684354560 10000 20000 6 3.601916
Collatz 2684354560 10000 20000 8 3.557864
Collatz 2684354560 10000 50000 2 3.631097
Collatz 2684354560 10000 50000 4 3.621318
Collatz 2684354560 10000 50000 6 3.579497
Collatz 2684354560 10000 50000 8 3.582055
Collatz 2684354560 10000 100000 2 3.632482
Collatz 2684354560 10000 100000 4 3.615835
Collatz 2684354560 10000 100000 6 3.594202
Collatz 2684354560 10000 100000 8 3.574076
Collatz 2684354560 100000 100 2 3.674375
Collatz 2684354560 100000 100 4 3.619264
Collatz 2684354560 100000 100 6 3.617307
Collatz 2684354560 100000 100 8 3.614835
Collatz 2684354560 100000 1000 2 3.630568
Collatz 2684354560 100000 1000 4 3.615913
Collatz 2684354560 100000 1000 6 3.589611
Collatz 2684354560 100000 1000 8 3.583530
Collatz 2684354560 100000 10000 2 3.630394
Collatz 2684354560 100000 10000 4 3.611420
Collatz 2684354560 100000 10000 6 3.591945
Collatz 2684354560 100000 10000 8 3.577340
Collatz 2684354560 100000 20000 2 3.631075
Collatz 2684354560 100000 20000 4 3.613491
Collatz 2684354560 100000 20000 6 3.593376
Collatz 2684354560 100000 20000 8 3.578006
Collatz 2684354560 100000 50000 2 3.639580
Collatz 2684354560 100000 50000 4 3.640242
Collatz 2684354560 100000 50000 6 3.642382
Collatz 2684354560 100000 50000 8 3.638239
Collatz 2684354560 100000 100000 2 3.635203
Collatz 2684354560 100000 100000 4 3.638771
Collatz 2684354560 100000 100000 6 3.637985
Collatz 2684354560 100000 100000 8 3.636962
Math 1342177280 10 100 2 1315.475038
Math 1342177280 10 100 4 583.031646
Math 1342177280 10 100 6 374.897705
Math 1342177280 10 100 8 278.447556
Math 1342177280 10 1000 2 326.406869
Math 1342177280 10 1000 4 248.239895
Math 1342177280 10 1000 6 201.438099
Math 1342177280 10 1000 8 170.041981
Math 1342177280 10 10000 2 111.260470
