Testcase DataSize WorkGroupSize GpuWorkGroups NumThreads Time
Collatz 2684354560 10 100 2 106.121990
Collatz 2684354560 10 100 4 89.894721
Collatz 2684354560 10 100 6 78.667996
Collatz 2684354560 10 100 8 70.187045
Collatz 2684354560 10 1000 2 15.940048
Collatz 2684354560 10 1000 4 15.433388
Collatz 2684354560 10 1000 6 15.065660
Collatz 2684354560 10 1000 8 14.731192
Collatz 2684354560 10 10000 2 4.564737
Collatz 2684354560 10 10000 4 4.553295
Collatz 2684354560 10 10000 6 4.514173
Collatz 2684354560 10 10000 8 4.480995
Collatz 2684354560 10 20000 2 4.029530
Collatz 2684354560 10 20000 4 4.010752
Collatz 2684354560 10 20000 6 3.972047
Collatz 2684354560 10 20000 8 3.956859
Collatz 2684354560 10 50000 2 3.828776
Collatz 2684354560 10 50000 4 3.801987
Collatz 2684354560 10 50000 6 3.784919
Collatz 2684354560 10 50000 8 3.755084
Collatz 2684354560 10 100000 2 3.719991
Collatz 2684354560 10 100000 4 3.700139
Collatz 2684354560 10 100000 6 3.679732
Collatz 2684354560 10 100000 8 3.658889
Collatz 2684354560 100 100 2 15.760562
Collatz 2684354560 100 100 4 15.396378
Collatz 2684354560 100 100 6 15.006617
Collatz 2684354560 100 100 8 14.638663
Collatz 2684354560 100 1000 2 4.573407
Collatz 2684354560 100 1000 4 4.555435
Collatz 2684354560 100 1000 6 4.512559
Collatz 2684354560 100 1000 8 4.471898
Collatz 2684354560 100 10000 2 3.730739
Collatz 2684354560 100 10000 4 3.701431
Collatz 2684354560 100 10000 6 3.681490
Collatz 2684354560 100 10000 8 3.658143
Collatz 2684354560 100 20000 2 3.687687
Collatz 2684354560 100 20000 4 3.663257
Collatz 2684354560 100 20000 6 3.649725
Collatz 2684354560 100 20000 8 3.622549
Collatz 2684354560 100 50000 2 3.666826
Collatz 2684354560 100 50000 4 3.651627
Collatz 2684354560 100 50000 6 3.627508
Collatz 2684354560 100 50000 8 3.595355
Collatz 2684354560 100 100000 2 3.660735
Collatz 2684354560 100 100000 4 3.640816
Collatz 2684354560 100 100000 6 3.603116
Collatz 2684354560 100 100000 8 3.594025
Collatz 2684354560 1000 100 2 4.588873
Collatz 2684354560 1000 100 4 4.545499
Collatz 2684354560 1000 100 6 4.501898
Collatz 2684354560 1000 100 8 4.475865
Collatz 2684354560 1000 1000 2 3.721153
Collatz 2684354560 1000 1000 4 3.699947
Collatz 2684354560 1000 1000 6 3.676307
Collatz 2684354560 1000 1000 8 3.651253
Collatz 2684354560 1000 10000 2 3.648235
Collatz 2684354560 1000 10000 4 3.631898
Collatz 2684354560 1000 10000 6 3.612653
Collatz 2684354560 1000 10000 8 3.583675
Collatz 2684354560 1000 20000 2 3.657201
Collatz 2684354560 1000 20000 4 3.624256
Collatz 2684354560 1000 20000 6 3.606285
Collatz 2684354560 1000 20000 8 3.576202
Collatz 2684354560 1000 50000 2 3.649860
Collatz 2684354560 1000 50000 4 3.628819
Collatz 2684354560 1000 50000 6 3.606378
Collatz 2684354560 1000 50000 8 3.596198
Collatz 2684354560 1000 100000 2 3.630749
Collatz 2684354560 1000 100000 4 3.623870
Collatz 2684354560 1000 100000 6 3.607794
Collatz 2684354560 1000 100000 8 3.579267
Collatz 2684354560 10000 100 2 3.732558
Collatz 2684354560 10000 100 4 3.699334
Collatz 2684354560 10000 100 6 3.673203
Collatz 2684354560 10000 100 8 3.653111
Collatz 2684354560 10000 1000 2 3.648760
Collatz 2684354560 10000 1000 4 3.629393
Collatz 2684354560 10000 1000 6 3.612712
Collatz 2684354560 10000 1000 8 3.583002
Collatz 2684354560 10000 10000 2 3.643268
Collatz 2684354560 10000 10000 4 3.626507
Collatz 2684354560 10000 10000 6 3.595800
Collatz 2684354560 10000 10000 8 3.578358
Collatz 2684354560 10000 20000 2 3.634453
Collatz 2684354560 10000 20000 4 3.620153
Collatz 2684354560 10000 20000 6 3.611210
Collatz 2684354560 10000 20000 8 3.567521
Collatz 2684354560 10000 50000 2 3.635471
Collatz 2684354560 10000 50000 4 3.625282
Collatz 2684354560 10000 50000 6 3.581329
Collatz 2684354560 10000 50000 8 3.568533
Collatz 2684354560 10000 100000 2 3.622592
Collatz 2684354560 10000 100000 4 3.603934
Collatz 2684354560 10000 100000 6 3.590988
Collatz 2684354560 10000 100000 8 3.571591
Collatz 2684354560 100000 100 2 3.663913
Collatz 2684354560 100000 100 4 3.634332
Collatz 2684354560 100000 100 6 3.623253
Collatz 2684354560 100000 100 8 3.608796
Collatz 2684354560 100000 1000 2 3.637462
Collatz 2684354560 100000 1000 4 3.622149
Collatz 2684354560 100000 1000 6 3.605423
Collatz 2684354560 100000 1000 8 3.575806
Collatz 2684354560 100000 10000 2 3.630641
Collatz 2684354560 100000 10000 4 3.609735
Collatz 2684354560 100000 10000 6 3.590880
Collatz 2684354560 100000 10000 8 3.571022
