Testcase DataSize Time
Collatz 1342177280 1.792255
Collatz 2684354560 3.638875
Collatz 5368709120 7.361012
Collatz 8053063680 11.132334
Collatz 10737418240 14.922651
Collatz 13421772800 18.713334
Math 671088640 47.565029
Math 1342177280 95.207395
Math 2684354560 190.580608
Math 4026531840 286.038442
Math 5368709120 381.487325
Math 6710886400 476.973367
MaxElement 1342177280 0.443523
MaxElement 2684354560 0.878231
MaxElement 5368709120 1.732098
MaxElement 8053063680 2.580792
MaxElement 10737418240 3.534992
MaxElement 13421772800 4.296638
VectorPow 335544320 0.662783
VectorPow 671088640 1.293986
VectorPow 1342177280 2.580972
VectorPow 2013265920 3.874317
VectorPow 2684354560 5.171445
VectorPow 3355443200 6.384524
