Testcase DataSize WorkGroupSize GpuWorkGroups NumThreads Time
Collatz 1342177280 100 20000 8 1.779925
Collatz 1342177280 100 50000 8 1.746242
Collatz 1342177280 100 100000 8 1.741335
Collatz 1342177280 1000 100 8 2.177373
Collatz 1342177280 1000 1000 8 1.776982
Collatz 1342177280 1000 10000 8 1.740453
Collatz 1342177280 1000 20000 8 1.737031
Collatz 1342177280 1000 50000 8 1.740294
Collatz 1342177280 1000 100000 8 1.742008
Collatz 1342177280 10000 100 8 1.774688
Collatz 1342177280 10000 1000 8 1.741536
Collatz 1342177280 10000 10000 8 1.740194
Collatz 1342177280 10000 20000 8 1.743499
Collatz 1342177280 10000 50000 8 1.750384
Collatz 1342177280 10000 100000 8 1.754113
Collatz 1342177280 100000 100 8 1.777047
Collatz 1342177280 100000 1000 8 1.770491
Collatz 1342177280 100000 10000 8 1.752293
Collatz 2684354560 100 20000 8 3.594233
Collatz 2684354560 100 50000 8 3.562259
Collatz 2684354560 100 100000 8 3.553726
Collatz 2684354560 1000 100 8 4.441557
Collatz 2684354560 1000 1000 8 3.632087
Collatz 2684354560 1000 10000 8 3.566877
Collatz 2684354560 1000 20000 8 3.560214
Collatz 2684354560 1000 50000 8 3.559240
Collatz 2684354560 1000 100000 8 3.557781
Collatz 2684354560 10000 100 8 3.652274
Collatz 2684354560 10000 1000 8 3.577548
Collatz 2684354560 10000 10000 8 3.558420
Collatz 2684354560 10000 20000 8 3.567600
Collatz 2684354560 10000 50000 8 3.550935
Collatz 2684354560 10000 100000 8 3.564548
Collatz 2684354560 100000 100 8 3.593009
Collatz 2684354560 100000 1000 8 3.581651
Collatz 2684354560 100000 10000 8 3.561473
Collatz 5368709120 100 20000 8 7.280991
Collatz 5368709120 100 50000 8 7.218559
Collatz 5368709120 100 100000 8 7.201363
Collatz 5368709120 1000 100 8 8.999223
Collatz 5368709120 1000 1000 8 7.351451
Collatz 5368709120 1000 10000 8 7.197484
Collatz 5368709120 1000 20000 8 7.194220
Collatz 5368709120 1000 50000 8 7.203848
Collatz 5368709120 1000 100000 8 7.207007
Collatz 5368709120 10000 100 8 7.364691
Collatz 5368709120 10000 1000 8 7.217133
Collatz 5368709120 10000 10000 8 7.214365
Collatz 5368709120 10000 20000 8 7.222667
Collatz 5368709120 10000 50000 8 7.230445
Collatz 5368709120 10000 100000 8 7.204009
Collatz 5368709120 100000 100 8 7.232831
Collatz 5368709120 100000 1000 8 7.214330
Collatz 5368709120 100000 10000 8 7.213513
Collatz 8053063680 100 20000 8 11.040253
Collatz 8053063680 100 50000 8 10.959560
Collatz 8053063680 100 100000 8 10.925834
Collatz 8053063680 1000 100 8 13.628230
Collatz 8053063680 1000 1000 8 11.166546
Collatz 8053063680 1000 10000 8 10.936566
Collatz 8053063680 1000 20000 8 10.920354
Collatz 8053063680 1000 50000 8 10.900756
Collatz 8053063680 1000 100000 8 10.924700
Collatz 8053063680 10000 100 8 11.173489
Collatz 8053063680 10000 1000 8 10.959090
Collatz 8053063680 10000 10000 8 10.897519
Collatz 8053063680 10000 20000 8 10.893633
Collatz 8053063680 10000 50000 8 10.912771
Collatz 8053063680 10000 100000 8 10.918953
Collatz 8053063680 100000 100 8 10.950366
Collatz 8053063680 100000 1000 8 10.909326
Collatz 8053063680 100000 10000 8 10.917674
Collatz 10737418240 100 20000 8 14.746899
Collatz 10737418240 100 50000 8 14.703916
Collatz 10737418240 100 100000 8 14.648888
Collatz 10737418240 1000 100 8 18.238651
Collatz 10737418240 1000 1000 8 14.920828
Collatz 10737418240 1000 10000 8 14.639655
Collatz 10737418240 1000 20000 8 14.626815
Collatz 10737418240 1000 50000 8 14.618749
Collatz 10737418240 1000 100000 8 14.620713
Collatz 10737418240 10000 100 8 14.927810
Collatz 10737418240 10000 1000 8 14.649261
Collatz 10737418240 10000 10000 8 14.609393
Collatz 10737418240 10000 20000 8 14.618947
Collatz 10737418240 10000 50000 8 14.621880
Collatz 10737418240 10000 100000 8 14.614157
Collatz 10737418240 100000 100 8 14.671757
Collatz 10737418240 100000 1000 8 14.648760
Collatz 10737418240 100000 10000 8 14.606211
Collatz 13421772800 100 20000 8 18.488663
Collatz 13421772800 100 50000 8 18.401138
Collatz 13421772800 100 100000 8 18.357586
Collatz 13421772800 1000 100 8 22.895971
Collatz 13421772800 1000 1000 8 18.734499
Collatz 13421772800 1000 10000 8 18.294061
Collatz 13421772800 1000 20000 8 18.284003
Collatz 13421772800 1000 50000 8 18.325664
Collatz 13421772800 1000 100000 8 18.265046
Collatz 13421772800 10000 100 8 18.668791
Collatz 13421772800 10000 1000 8 18.374249
Collatz 13421772800 10000 10000 8 18.336851
Collatz 13421772800 10000 20000 8 18.343070
Collatz 13421772800 10000 50000 8 18.341446
Collatz 13421772800 10000 100000 8 18.299492
Collatz 13421772800 100000 100 8 18.387743
Collatz 13421772800 100000 1000 8 18.333005
Collatz 13421772800 100000 10000 8 18.338347
Math 671088640 100 20000 8 36.916023
Math 671088640 100 50000 8 37.057810
Math 671088640 100 100000 8 36.990465
Math 671088640 1000 100 8 42.971317
Math 671088640 1000 1000 8 37.496367
Math 671088640 1000 10000 8 36.995796
Math 671088640 1000 20000 8 37.047558
Math 671088640 1000 50000 8 37.274522
Math 671088640 1000 100000 8 37.251145
Math 671088640 10000 100 8 37.491186
Math 671088640 10000 1000 8 36.981160
Math 671088640 10000 10000 8 37.235240
Math 671088640 10000 20000 8 39.341368
Math 671088640 10000 50000 8 37.234650
Math 671088640 10000 100000 8 47.645810
Math 671088640 100000 100 8 36.997346
Math 671088640 100000 1000 8 37.216031
Math 671088640 100000 10000 8 47.605488
Math 1342177280 100 20000 8 74.189750
Math 1342177280 100 50000 8 74.141412
Math 1342177280 100 100000 8 74.052372
Math 1342177280 1000 100 8 86.084224
Math 1342177280 1000 1000 8 75.039846
Math 1342177280 1000 10000 8 74.051522
Math 1342177280 1000 20000 8 73.880013
Math 1342177280 1000 50000 8 74.509344
Math 1342177280 1000 100000 8 74.453062
Math 1342177280 10000 100 8 75.070534
Math 1342177280 10000 1000 8 74.029398
Math 1342177280 10000 10000 8 74.417244
Math 1342177280 10000 20000 8 74.501180
Math 1342177280 10000 50000 8 74.420158
Math 1342177280 10000 100000 8 74.522922
Math 1342177280 100000 100 8 74.024613
Math 1342177280 100000 1000 8 74.503570
Math 1342177280 100000 10000 8 74.452948
Math 2684354560 100 20000 8 147.935110
Math 2684354560 100 50000 8 148.443722
Math 2684354560 100 100000 8 147.966069
Math 2684354560 1000 100 8 172.166393
Math 2684354560 1000 1000 8 150.265005
Math 2684354560 1000 10000 8 147.957122
Math 2684354560 1000 20000 8 147.893388
Math 2684354560 1000 50000 8 148.058010
Math 2684354560 1000 100000 8 149.067097
Math 2684354560 10000 100 8 150.185834
Math 2684354560 10000 1000 8 147.957219
Math 2684354560 10000 10000 8 149.027963
Math 2684354560 10000 20000 8 149.052533
Math 2684354560 10000 50000 8 149.127198
Math 2684354560 10000 100000 8 149.040602
Math 2684354560 100000 100 8 147.974756
Math 2684354560 100000 1000 8 149.042877
Math 2684354560 100000 10000 8 149.000649
Math 4026531840 100 20000 8 221.782475
Math 4026531840 100 50000 8 222.679619
Math 4026531840 100 100000 8 221.951903
Math 4026531840 1000 100 8 258.351305
Math 4026531840 1000 1000 8 225.415548
Math 4026531840 1000 10000 8 221.814803
Math 4026531840 1000 20000 8 221.767155
Math 4026531840 1000 50000 8 221.593145
Math 4026531840 1000 100000 8 221.599591
Math 4026531840 10000 100 8 225.359276
Math 4026531840 10000 1000 8 221.874600
Math 4026531840 10000 10000 8 221.606368
Math 4026531840 10000 20000 8 223.555243
Math 4026531840 10000 50000 8 223.583766
Math 4026531840 10000 100000 8 223.662584
Math 4026531840 100000 100 8 221.860486
Math 4026531840 100000 1000 8 221.582792
Math 4026531840 100000 10000 8 223.561953
Math 5368709120 100 20000 8 295.984031
Math 5368709120 100 50000 8 296.951215
Math 5368709120 100 100000 8 295.927237
Math 5368709120 1000 100 8 344.558347
Math 5368709120 1000 1000 8 300.590529
Math 5368709120 1000 10000 8 295.931691
Math 5368709120 1000 20000 8 295.616826
Math 5368709120 1000 50000 8 295.037732
Math 5368709120 1000 100000 8 295.931249
