Testcase DataSize Time
Collatz 1342177280 68.982677
Collatz 2684354560 142.588928
Collatz 5368709120 294.692198
Collatz 8053063680 449.709228
Collatz 10737418240 606.279697
Collatz 13421772800 765.355228
Math 671088640 132.095648
Math 1342177280 262.922954
Math 2684354560 522.006615
Math 4026531840 781.522095
Math 5368709120 1040.099291
Math 6710886400 1295.766468
MaxElement 1342177280 4.125308
MaxElement 2684354560 7.997502
MaxElement 5368709120 16.725711
MaxElement 8053063680 24.180783
MaxElement 10737418240 32.830155
MaxElement 13421772800 38.034564
VecPow 335544320 0.730772
VecPow 671088640 1.206517
VecPow 1342177280 2.528062
VecPow 2013265920 4.032279
VecPow 2684354560 4.971241
VecPow 3355443200 6.435980
