Testcase DataSize Time
Collatz 1342177280 1.793639
Collatz 2684354560 3.637993
Collatz 5368709120 7.367114
Collatz 8053063680 11.131205
Collatz 10737418240 14.920847
Collatz 13421772800 18.721024
Math 671088640 47.679858
Math 1342177280 95.469197
Math 2684354560 191.068174
Math 4026531840 286.799446
Math 5368709120 382.519849
Math 6710886400 478.188420
MaxElement 1342177280 0.445620
MaxElement 2684354560 0.872734
MaxElement 5368709120 1.728215
MaxElement 8053063680 2.580900
MaxElement 10737418240 3.433404
MaxElement 13421772800 4.288001
VectorPow 335544320 0.657002
VectorPow 671088640 1.293050
VectorPow 1342177280 2.550645
VectorPow 2013265920 3.780639
VectorPow 2684354560 5.031834
VectorPow 3355443200 6.271895
