Testcase DataSize Time
Collatz 1342177280 1.807224
Collatz 2684354560 3.640332
Collatz 5368709120 7.371925
Collatz 8053063680 11.134320
Collatz 10737418240 14.934210
Collatz 13421772800 18.727586
Math 671088640 47.916034
Math 1342177280 95.934135
Math 2684354560 192.026194
Math 4026531840 288.229340
Math 5368709120 384.401189
Math 6710886400 480.606566
MaxElement 1342177280 0.445558
MaxElement 2684354560 0.873441
MaxElement 5368709120 1.726327
MaxElement 8053063680 2.580310
MaxElement 10737418240 3.434595
MaxElement 13421772800 4.290066
VectorPow 335544320 0.648896
VectorPow 671088640 1.277947
VectorPow 1342177280 2.535312
VectorPow 2013265920 3.778042
VectorPow 2684354560 5.050267
VectorPow 3355443200 6.314709
