Testcase DataSize WorkGroupSize GpuWorkGroups NumThreads Time
Collatz 1342177280 1000 10000 8 1.770059
Collatz 1342177280 1000 20000 8 1.745184
Collatz 1342177280 1000 100000 8 1.744086
Collatz 1342177280 10000 1000 8 1.749294
Collatz 1342177280 10000 10000 8 1.743550
Collatz 1342177280 10000 20000 8 1.760392
Collatz 1342177280 10000 50000 8 1.756125
Collatz 1342177280 10000 100000 8 1.756816
Collatz 1342177280 100000 10000 8 1.756077
Collatz 1342177280 100000 20000 8 1.786839
Collatz 2684354560 1000 10000 8 3.553304
Collatz 2684354560 1000 20000 8 3.556751
Collatz 2684354560 1000 100000 8 3.542858
Collatz 2684354560 10000 1000 8 3.562504
Collatz 2684354560 10000 10000 8 3.566235
Collatz 2684354560 10000 20000 8 3.573456
Collatz 2684354560 10000 50000 8 3.563007
Collatz 2684354560 10000 100000 8 3.564049
Collatz 2684354560 100000 10000 8 3.564578
Collatz 2684354560 100000 20000 8 3.566781
Collatz 5368709120 1000 10000 8 7.205812
Collatz 5368709120 1000 20000 8 7.191371
Collatz 5368709120 1000 100000 8 7.185653
Collatz 5368709120 10000 1000 8 7.199849
Collatz 5368709120 10000 10000 8 7.187655
Collatz 5368709120 10000 20000 8 7.209429
Collatz 5368709120 10000 50000 8 7.217568
Collatz 5368709120 10000 100000 8 7.220538
Collatz 5368709120 100000 10000 8 7.217065
Collatz 5368709120 100000 20000 8 7.250391
Collatz 8053063680 1000 10000 8 10.929159
Collatz 8053063680 1000 20000 8 10.907417
Collatz 8053063680 1000 100000 8 10.906027
Collatz 8053063680 10000 1000 8 11.000935
Collatz 8053063680 10000 10000 8 10.906536
Collatz 8053063680 10000 20000 8 10.916359
Collatz 8053063680 10000 50000 8 10.900128
Collatz 8053063680 10000 100000 8 10.917089
Collatz 8053063680 100000 10000 8 10.917227
Collatz 8053063680 100000 20000 8 10.933424
Collatz 10737418240 1000 10000 8 14.629407
Collatz 10737418240 1000 20000 8 14.621022
Collatz 10737418240 1000 100000 8 14.617925
Collatz 10737418240 10000 1000 8 14.653584
Collatz 10737418240 10000 10000 8 14.612985
Collatz 10737418240 10000 20000 8 14.625911
Collatz 10737418240 10000 50000 8 14.593902
Collatz 10737418240 10000 100000 8 14.615079
Collatz 10737418240 100000 10000 8 14.598471
Collatz 10737418240 100000 20000 8 14.612525
Collatz 13421772800 1000 10000 8 18.383959
Collatz 13421772800 1000 20000 8 18.363776
Collatz 13421772800 1000 100000 8 18.351047
Collatz 13421772800 10000 1000 8 18.385285
Collatz 13421772800 10000 10000 8 18.350247
Collatz 13421772800 10000 20000 8 18.332708
Collatz 13421772800 10000 50000 8 18.335751
Collatz 13421772800 10000 100000 8 18.319488
Collatz 13421772800 100000 10000 8 18.329993
Collatz 13421772800 100000 20000 8 18.357223
Math 671088640 100 20000 8 36.242106
Math 671088640 100 100000 8 36.289901
Math 671088640 1000 10000 8 36.523623
Math 671088640 1000 20000 8 36.514657
Math 671088640 1000 100000 8 36.492570
Math 671088640 10000 1000 8 36.308515
Math 671088640 10000 20000 8 38.756331
Math 671088640 10000 50000 8 36.392477
Math 671088640 10000 100000 8 47.891536
Math 671088640 100000 100 8 36.525771
Math 1342177280 100 20000 8 72.859267
Math 1342177280 100 100000 8 72.924077
Math 1342177280 1000 10000 8 72.911887
Math 1342177280 1000 20000 8 72.974317
Math 1342177280 1000 100000 8 72.956217
Math 1342177280 10000 1000 8 72.918994
Math 1342177280 10000 20000 8 72.893446
Math 1342177280 10000 50000 8 72.874942
Math 1342177280 10000 100000 8 72.848238
Math 1342177280 100000 100 8 72.877427
Math 2684354560 100 20000 8 145.670458
Math 2684354560 100 100000 8 145.703198
Math 2684354560 1000 10000 8 145.672662
Math 2684354560 1000 20000 8 145.585439
Math 2684354560 1000 100000 8 145.896326
Math 2684354560 10000 1000 8 145.696244
Math 2684354560 10000 20000 8 145.373451
Math 2684354560 10000 50000 8 145.786434
Math 2684354560 10000 100000 8 145.339797
Math 2684354560 100000 100 8 144.915403
Math 4026531840 100 20000 8 218.480277
Math 4026531840 100 100000 8 217.591369
Math 4026531840 1000 10000 8 217.429491
Math 4026531840 1000 20000 8 217.166709
Math 4026531840 1000 100000 8 218.708519
Math 4026531840 10000 1000 8 217.407001
Math 4026531840 10000 20000 8 217.815039
Math 4026531840 10000 50000 8 217.765091
Math 4026531840 10000 100000 8 217.740480
Math 4026531840 100000 100 8 217.336422
Math 5368709120 100 20000 8 289.704286
Math 5368709120 100 100000 8 289.680158
Math 5368709120 1000 10000 8 289.773586
Math 5368709120 1000 20000 8 289.224078
Math 5368709120 1000 100000 8 293.720533
Math 5368709120 10000 1000 8 289.706254
Math 5368709120 10000 20000 8 290.400231
Math 5368709120 10000 50000 8 290.743482
Math 5368709120 10000 100000 8 290.182409
