Testcase DataSize WorkGroupSize GpuWorkGroups NumThreads Time
Collatz 1342177280 1000 10000 8 1.757416
Collatz 1342177280 1000 20000 8 1.745963
Collatz 1342177280 1000 100000 8 1.743982
Collatz 1342177280 10000 1000 8 1.747010
Collatz 1342177280 10000 10000 8 1.747066
Collatz 1342177280 10000 20000 8 1.750504
Collatz 1342177280 10000 50000 8 1.756688
Collatz 1342177280 10000 100000 8 1.759729
Collatz 1342177280 100000 10000 8 1.756899
Collatz 1342177280 100000 20000 8 1.788842
Collatz 2684354560 1000 10000 8 3.559677
Collatz 2684354560 1000 20000 8 3.571587
Collatz 2684354560 1000 100000 8 3.548816
Collatz 2684354560 10000 1000 8 3.557316
Collatz 2684354560 10000 10000 8 3.566144
Collatz 2684354560 10000 20000 8 3.568112
Collatz 2684354560 10000 50000 8 3.549738
Collatz 2684354560 10000 100000 8 3.580106
Collatz 2684354560 100000 10000 8 3.578180
Collatz 2684354560 100000 20000 8 3.575954
Collatz 5368709120 1000 10000 8 7.221705
Collatz 5368709120 1000 20000 8 7.214151
Collatz 5368709120 1000 100000 8 7.216631
Collatz 5368709120 10000 1000 8 7.231747
Collatz 5368709120 10000 10000 8 7.215329
Collatz 5368709120 10000 20000 8 7.211294
Collatz 5368709120 10000 50000 8 7.228828
Collatz 5368709120 10000 100000 8 7.219205
Collatz 5368709120 100000 10000 8 7.219743
Collatz 5368709120 100000 20000 8 7.250205
Collatz 8053063680 1000 10000 8 10.936131
Collatz 8053063680 1000 20000 8 10.911541
Collatz 8053063680 1000 100000 8 10.902571
Collatz 8053063680 10000 1000 8 10.985192
Collatz 8053063680 10000 10000 8 10.915228
Collatz 8053063680 10000 20000 8 10.912706
Collatz 8053063680 10000 50000 8 10.900703
Collatz 8053063680 10000 100000 8 10.917411
Collatz 8053063680 100000 10000 8 10.904460
Collatz 8053063680 100000 20000 8 10.948094
Collatz 10737418240 1000 10000 8 14.646481
Collatz 10737418240 1000 20000 8 14.630199
Collatz 10737418240 1000 100000 8 14.619937
Collatz 10737418240 10000 1000 8 14.642100
Collatz 10737418240 10000 10000 8 14.624911
Collatz 10737418240 10000 20000 8 14.629082
Collatz 10737418240 10000 50000 8 14.590707
Collatz 10737418240 10000 100000 8 14.605686
Collatz 10737418240 100000 10000 8 14.597603
Collatz 10737418240 100000 20000 8 14.616039
Collatz 13421772800 1000 10000 8 18.390831
Collatz 13421772800 1000 20000 8 18.362300
Collatz 13421772800 1000 100000 8 18.356002
Collatz 13421772800 10000 1000 8 18.375015
Collatz 13421772800 10000 10000 8 18.354767
Collatz 13421772800 10000 20000 8 18.387899
Collatz 13421772800 10000 50000 8 18.324907
Collatz 13421772800 10000 100000 8 18.338284
Collatz 13421772800 100000 10000 8 18.339704
Collatz 13421772800 100000 20000 8 18.364643
Math 671088640 100 20000 8 36.274384
Math 671088640 100 100000 8 36.455699
Math 671088640 1000 10000 8 36.243780
Math 671088640 1000 20000 8 36.381359
Math 671088640 1000 100000 8 36.330808
Math 671088640 10000 1000 8 36.244573
Math 671088640 10000 20000 8 38.557267
Math 671088640 10000 50000 8 36.278158
Math 671088640 10000 100000 8 47.526292
Math 671088640 100000 100 8 36.246339
Math 1342177280 100 20000 8 72.539965
Math 1342177280 100 100000 8 72.614466
Math 1342177280 1000 10000 8 72.617245
Math 1342177280 1000 20000 8 72.464172
Math 1342177280 1000 100000 8 72.731285
Math 1342177280 10000 1000 8 72.625998
Math 1342177280 10000 20000 8 72.662096
Math 1342177280 10000 50000 8 72.631676
Math 1342177280 10000 100000 8 72.592160
Math 1342177280 100000 100 8 72.644489
Math 2684354560 100 20000 8 145.092007
Math 2684354560 100 100000 8 145.092889
Math 2684354560 1000 10000 8 145.156461
