Testcase DataSize WorkGroupSize GpuWorkGroups NumThreads Time
Collatz 2684354560 10 100 2 104.569713
Collatz 2684354560 10 100 4 88.704189
Collatz 2684354560 10 100 6 77.623780
Collatz 2684354560 10 100 8 68.906052
Collatz 2684354560 10 1000 2 15.768698
Collatz 2684354560 10 1000 4 15.436022
Collatz 2684354560 10 1000 6 15.063945
Collatz 2684354560 10 1000 8 14.712575
Collatz 2684354560 10 10000 2 4.594528
Collatz 2684354560 10 10000 4 4.549766
Collatz 2684354560 10 10000 6 4.519630
Collatz 2684354560 10 10000 8 4.494488
Collatz 2684354560 10 20000 2 4.032857
Collatz 2684354560 10 20000 4 4.013576
Collatz 2684354560 10 20000 6 3.976057
Collatz 2684354560 10 20000 8 3.960740
Collatz 2684354560 10 50000 2 3.832623
Collatz 2684354560 10 50000 4 3.818657
Collatz 2684354560 10 50000 6 3.775854
Collatz 2684354560 10 50000 8 3.761599
Collatz 2684354560 10 100000 2 3.720816
Collatz 2684354560 10 100000 4 3.695399
Collatz 2684354560 10 100000 6 3.669852
Collatz 2684354560 10 100000 8 3.647100
Collatz 2684354560 100 100 2 15.692276
Collatz 2684354560 100 100 4 15.300616
Collatz 2684354560 100 100 6 14.906050
Collatz 2684354560 100 100 8 14.555161
Collatz 2684354560 100 1000 2 4.565189
Collatz 2684354560 100 1000 4 4.541327
Collatz 2684354560 100 1000 6 4.499817
Collatz 2684354560 100 1000 8 4.468665
Collatz 2684354560 100 10000 2 3.736221
Collatz 2684354560 100 10000 4 3.704040
Collatz 2684354560 100 10000 6 3.682451
Collatz 2684354560 100 10000 8 3.664224
Collatz 2684354560 100 20000 2 3.684869
Collatz 2684354560 100 20000 4 3.657096
Collatz 2684354560 100 20000 6 3.640263
Collatz 2684354560 100 20000 8 3.620800
Collatz 2684354560 100 50000 2 3.656236
Collatz 2684354560 100 50000 4 3.638981
Collatz 2684354560 100 50000 6 3.626919
Collatz 2684354560 100 50000 8 3.593061
Collatz 2684354560 100 100000 2 3.660263
Collatz 2684354560 100 100000 4 3.641044
Collatz 2684354560 100 100000 6 3.604735
Collatz 2684354560 100 100000 8 3.596217
Collatz 2684354560 1000 100 2 4.580041
Collatz 2684354560 1000 100 4 4.558535
Collatz 2684354560 1000 100 6 4.517363
Collatz 2684354560 1000 100 8 4.481156
Collatz 2684354560 1000 1000 2 3.729261
Collatz 2684354560 1000 1000 4 3.703021
Collatz 2684354560 1000 1000 6 3.679780
Collatz 2684354560 1000 1000 8 3.659034
Collatz 2684354560 1000 10000 2 3.654420
Collatz 2684354560 1000 10000 4 3.630016
Collatz 2684354560 1000 10000 6 3.610239
Collatz 2684354560 1000 10000 8 3.580106
Collatz 2684354560 1000 20000 2 3.655076
Collatz 2684354560 1000 20000 4 3.618260
Collatz 2684354560 1000 20000 6 3.607014
Collatz 2684354560 1000 20000 8 3.572129
Collatz 2684354560 1000 50000 2 3.649882
Collatz 2684354560 1000 50000 4 3.613014
Collatz 2684354560 1000 50000 6 3.604913
Collatz 2684354560 1000 50000 8 3.570286
Collatz 2684354560 1000 100000 2 3.650067
Collatz 2684354560 1000 100000 4 3.622658
