Testcase DataSize Time
Collatz 1342177280 1.792630
Collatz 2684354560 3.637649
Collatz 5368709120 7.361867
Collatz 8053063680 11.133377
Collatz 10737418240 14.925819
Collatz 13421772800 18.722346
Math 671088640 47.569910
Math 1342177280 95.212778
Math 2684354560 190.589798
Math 4026531840 286.028090
Math 5368709120 381.651722
Math 6710886400 477.154144
MaxElement 1342177280 0.445981
MaxElement 2684354560 0.873067
MaxElement 5368709120 1.726382
MaxElement 8053063680 2.581891
MaxElement 10737418240 3.434840
MaxElement 13421772800 4.288679
VectorPow 335544320 0.648115
VectorPow 671088640 1.289885
VectorPow 1342177280 2.521077
VectorPow 2013265920 3.767425
VectorPow 2684354560 5.033703
VectorPow 3355443200 6.289996
