Testcase DataSize WorkGroupSize GpuWorkGroups NumThreads Time
Collatz 1342177280 1000 100000 8 1.768131
Collatz 1342177280 10000 100 8 1.797626
Collatz 1342177280 10000 1000 8 1.753116
Collatz 1342177280 10000 20000 8 1.751163
Collatz 1342177280 10000 50000 8 1.760036
Collatz 1342177280 100000 100 8 1.789616
Collatz 1342177280 100000 1000 8 1.768249
Collatz 2684354560 1000 100000 8 3.572712
Collatz 2684354560 10000 100 8 3.649818
Collatz 2684354560 10000 1000 8 3.583715
Collatz 2684354560 10000 20000 8 3.587803
Collatz 2684354560 10000 50000 8 3.563990
Collatz 2684354560 100000 100 8 3.601885
Collatz 2684354560 100000 1000 8 3.584488
Collatz 5368709120 1000 100000 8 7.230375
Collatz 5368709120 10000 100 8 7.361479
Collatz 5368709120 10000 1000 8 7.230351
Collatz 5368709120 10000 20000 8 7.212939
Collatz 5368709120 10000 50000 8 7.217794
Collatz 5368709120 100000 100 8 7.251343
Collatz 5368709120 100000 1000 8 7.209888
Collatz 8053063680 1000 100000 8 10.901207
Collatz 8053063680 10000 100 8 11.153259
Collatz 8053063680 10000 1000 8 10.933448
Collatz 8053063680 10000 20000 8 10.901725
Collatz 8053063680 10000 50000 8 10.900255
Collatz 8053063680 100000 100 8 10.969234
Collatz 8053063680 100000 1000 8 10.890773
Collatz 10737418240 1000 100000 8 14.689128
Collatz 10737418240 10000 100 8 14.868050
Collatz 10737418240 10000 1000 8 14.633931
Collatz 10737418240 10000 20000 8 14.597415
Collatz 10737418240 10000 50000 8 14.643728
Collatz 10737418240 100000 100 8 14.674973
Collatz 10737418240 100000 1000 8 14.649456
Collatz 13421772800 1000 100000 8 18.364271
Collatz 13421772800 10000 100 8 18.730194
Collatz 13421772800 10000 1000 8 18.387379
Collatz 13421772800 10000 20000 8 18.330789
Collatz 13421772800 10000 50000 8 18.326497
Collatz 13421772800 100000 100 8 18.397257
Collatz 13421772800 100000 1000 8 18.330739
Math 671088640 1000 100000 8 36.248832
Math 671088640 10000 100 8 36.655356
Math 671088640 10000 1000 8 36.275517
Math 671088640 10000 20000 8 38.460786
Math 671088640 10000 50000 8 36.362806
Math 671088640 100000 100 8 36.469156
Math 671088640 100000 1000 8 36.143636
Math 1342177280 1000 100000 8 72.734577
Math 1342177280 10000 100 8 73.385255
Math 1342177280 10000 1000 8 72.375067
Math 1342177280 10000 20000 8 72.482126
Math 1342177280 10000 50000 8 77.394382
Math 1342177280 100000 100 8 73.039061
Math 1342177280 100000 1000 8 72.425179
Math 2684354560 1000 100000 8 144.842692
Math 2684354560 10000 100 8 146.856151
Math 2684354560 10000 1000 8 144.606517
Math 2684354560 10000 20000 8 144.765459
Math 2684354560 10000 50000 8 144.699634
Math 2684354560 100000 100 8 144.608479
Math 2684354560 100000 1000 8 144.737808
Math 4026531840 1000 100000 8 217.169447
Math 4026531840 10000 100 8 220.045933
Math 4026531840 10000 1000 8 216.695398
Math 4026531840 10000 20000 8 217.035187
Math 4026531840 10000 50000 8 216.889262
Math 4026531840 100000 100 8 216.693404
Math 4026531840 100000 1000 8 216.977860
Math 5368709120 1000 100000 8 289.287917
Math 5368709120 10000 100 8 293.191203
Math 5368709120 10000 1000 8 288.837105
Math 5368709120 10000 20000 8 290.103620
Math 5368709120 10000 50000 8 289.440777
Math 5368709120 100000 100 8 289.087415
Math 5368709120 100000 1000 8 289.283687
Math 6710886400 1000 100000 8 361.840363
Math 6710886400 10000 100 8 373.577141
Math 6710886400 10000 1000 8 361.521392
Math 6710886400 10000 20000 8 362.653217
Math 6710886400 10000 50000 8 361.946340
Math 6710886400 100000 100 8 362.152857
Math 6710886400 100000 1000 8 362.239531
MaxElement 1342177280 1000 100000 8 0.412505
MaxElement 1342177280 10000 100 8 0.577143
MaxElement 1342177280 10000 1000 8 0.436730
MaxElement 1342177280 10000 20000 8 0.405614
MaxElement 1342177280 10000 50000 8 0.412603
MaxElement 1342177280 100000 100 8 0.439955
MaxElement 1342177280 100000 1000 8 0.413924
MaxElement 2684354560 1000 100000 8 0.811707
MaxElement 2684354560 10000 100 8 1.140783
MaxElement 2684354560 10000 1000 8 0.873573
MaxElement 2684354560 10000 20000 8 0.804882
MaxElement 2684354560 10000 50000 8 0.813091
MaxElement 2684354560 100000 100 8 0.858104
MaxElement 2684354560 100000 1000 8 0.803568
MaxElement 5368709120 1000 100000 8 1.595283
MaxElement 5368709120 10000 100 8 2.248142
MaxElement 5368709120 10000 1000 8 1.702915
MaxElement 5368709120 10000 20000 8 1.586085
MaxElement 5368709120 10000 50000 8 1.588445
MaxElement 5368709120 100000 100 8 1.704598
MaxElement 5368709120 100000 1000 8 1.596116
MaxElement 8053063680 1000 100000 8 2.391212
MaxElement 8053063680 10000 100 8 3.386972
MaxElement 8053063680 10000 1000 8 2.557453
MaxElement 8053063680 10000 20000 8 2.361205
MaxElement 8053063680 10000 50000 8 2.367948
MaxElement 8053063680 100000 100 8 2.547913
MaxElement 8053063680 100000 1000 8 2.368721
MaxElement 10737418240 1000 100000 8 3.174539
MaxElement 10737418240 10000 100 8 4.493981
MaxElement 10737418240 10000 1000 8 3.378043
MaxElement 10737418240 10000 20000 8 3.144388
MaxElement 10737418240 10000 50000 8 3.159536
MaxElement 10737418240 100000 100 8 3.375310
